count,date,title,description,org_link,link
896,2024-01-05 18:01:00,"‘남북의창’, 통일부 장관 대담…2024년 남북 관계는?",김 장관은 최근 <b>군사</b>력 증강을 통해 남북 간 긴장 수위를 끌어올리면서도 책임을 남측에 떠넘기는 북한에... 내일 방송되는 ‘남북의창’에서는 이처럼 김영호 통일부 장관과의 특별 대담을 비롯해 <b>AI</b> 기술 등으로... ,https://news.kbs.co.kr/news/pc/view/view.do?ncd=7859346&ref=A,https://n.news.naver.com/mnews/article/056/0011636587?sid=100
897,2024-01-05 17:40:00,"[오늘의 특징주] 폴라리스오피스, 밀리의서재, 코난테크놀로지, 빅텍, 유유제...","◇ [<b>AI</b> 관련주] 폴라리스오피스, 이스트소프트, 캡스톤파트너스, 솔트룩스, 씨이랩, 폴라리스세원, 마음<b>AI</b>... 합참은 &quot;지난 2023년 11월 23일, 북한이 일방적으로 9·19 <b>군사</b>합의를 파기를 주장한 이후, 서해 완충구역내... ",https://www.thekpm.com/news/articleView.html?idxno=186669,https://www.thekpm.com/news/articleView.html?idxno=186669
898,2024-01-05 17:10:00,"'엎치락뒤치락' 한국판 사이버안보법, 주도권 싸움에 난항…올해는 결론날까?","현재 한국의 사이버 안보 대응 체계는 민간(과학기술정보통신부 한국인터넷진흥원), <b>군사</b>... 여기에 최근 인공지능(<b>AI</b>) 등 첨단 기술을 기반으로 사이버 위협이 진화하고 있어 실효성 있는 대응 체계를 주문하는 목소리는... ",https://www.ddaily.co.kr/page/view/2024010516475124406,https://n.news.naver.com/mnews/article/138/0002164316?sid=105
899,2024-01-05 16:30:00,[GAM]월가에 번지는 &quot;3월 공포&quot; 피벗 랠리 시험대 오른다 - ②,"세부적으로 농업, 농촌 개발 및 식품의약청과 에너지 및 수자원 개발, <b>군사</b> 건설 및 보훈, 운송과 주거 및... 두 번째 복병은 인공지능(<b>AI</b>)이다. 2023년 뉴욕증시의 상승 랠리에 불을 당긴 것은 <b>AI</b> 테마라고 해도... ",http://www.newspim.com/news/view/20240105000745,http://www.newspim.com/news/view/20240105000745
900,2024-01-05 16:00:00,[세종연]새해 국제정세 &lt;4&gt; 중국의 2023년 대외전략 평가와 전망,"중앙<b>군사</b>위원회 주석에 새롭게 선출하여 역사상 3연임에 성공 하였다. 20차 당 대회 이후 시진핑 주석의... 반도체, <b>AI</b>(인공지능). 빅데이타, 배터리, 로봇, 5G-6G기술, 양자컴퓨터 등 첨단 과학기술 연구개발에 보다... ",http://www.ifs.or.kr/bbs/board.php?bo_table=News&wr_id=53856,http://www.ifs.or.kr/bbs/board.php?bo_table=News&wr_id=53856
901,2024-01-05 15:00:00,"&quot;고품질 데이터로 최상의 결과물을&quot;…에이모, 글로벌 시장 노린다",인공지능(<b>AI</b>) 데이터 플랫폼 에이모가 글로벌 기업으로 도약하기 위한 출사표를 던졌다. 에이모는 9일(이하... 탐지와 <b>군사</b> 전술을 추천해준다. 에이모 창업자인 오승택 대표는 다음(카카오)에서 이커머스 본부장을... ,https://zdnet.co.kr/view/?no=20240104154132,https://n.news.naver.com/mnews/article/092/0002317197?sid=105
902,2024-01-05 14:44:00,[김세희의 정치사기]2024년인 듯 2024년 아닌 거꾸로 가는 정치,사람의 정신적 연식을 측정할 수 있는 <b>AI</b>기계가 있다고 가늠해보자. 필시 사용자들 사이엔 이런 대화가 오갈 것이다. &quot;당신은 몇 년 입니까?&quot; &quot;1961년 입니다&quot; &quot;당시 5·16<b>군사</b>정변이 있었죠&quot;. 이런 대화도 가능하다. &quot;난... ,https://www.dt.co.kr/contents.html?article_no=2024010502109958038002&ref=naver,https://n.news.naver.com/mnews/article/029/0002847679?sid=100
903,2024-01-05 12:00:00,"최춘식 의원, 총선 1호 공약 &quot;포천 발전에 UAM인프라 15항공단 활용 추진&quot;","평가와 <b>군사</b>기지 및 <b>군사</b>시설보호법 개정 결과에 따라 조치하겠다&quot;고 보고한 바 있다. 민군공용비행장의... 빅데이터 <b>AI</b>까지 다양한 첨단기술이 집약되어 있기 때문에 포천의 경제, 산업, 미래를 혁신적으로 바꿀 것... ",http://www.kihoilbo.co.kr/news/articleView.html?idxno=1066418,http://www.kihoilbo.co.kr/news/articleView.html?idxno=1066418
904,2024-01-05 10:57:00,최춘식 &quot;포천 발전 위해 UAM 인프라 구축에 15항공단 활용 추진&quot;,"평가와 <b>군사</b>기지 및 <b>군사</b>시설보호법 개정 결과에 따라 조치하겠다&quot;고 보고한 바 있습니다. 최 의원실은... 최 의원은 &quot;UAM은 소재, 배터리, 모터, 전자제어칩과 운항 서비스에 필요한 빅데이터 <b>AI</b>까지 다양한 첨단기술이... ",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4992237,https://n.news.naver.com/mnews/article/057/0001791146?sid=100
905,2024-01-05 10:34:00,[글로벌마켓포커스]올해 상반기 美증시 4대 리스크,야데니 대표는 인공지능(<b>AI</b>) 같은 기술 혁신이 인플레이션을 묶어둔 채 생산성 증가도 견인할 수 있다며... 대한 <b>군사</b> 지원 문제를 어떻게 다룰지 의견이 이미 엇갈리고 있다고 지적했다. 사진=AFP연합뉴스 ◇중동전쟁... ,https://www.businessplus.kr/news/articleView.html?idxno=53378,https://www.businessplus.kr/news/articleView.html?idxno=53378
