count,date,title,description,org_link,link
137,2024-02-12 16:11:00,"[영상] 시각 장애인까지 저격수로 만든다…이스라엘, <b>AI</b> 신<b>무기</b> 실전 투입","이스라엘이 12일(이하 현지시간) 팔레스타인 가자지구 최남단 도시 라파 일대를 타격한 가운데, 앞서 실전 투입한 인공지능(<b>AI</b>) <b>무기</b> 체계가 화제다. 10일 AFP통신은 최근 이스라엘이 팔레스타인 무장정파 하마스와의... ",https://www.news1.kr/articles/5318352,https://n.news.naver.com/mnews/article/421/0007346870?sid=104
138,2024-02-12 14:02:00,복합전투체계와 군사혁신,"사물인터넷(IoT), 인공지능(<b>AI</b>), 빅데이터(Big Data), 완전자율(Atonomous) 등 첨단 과학기술을 적용해 사회... 모든 <b>무기</b>체계뿐만 아니라 전투원까지 초연결하기 위한 군사혁신이라고 할 수 있다. 군사혁신을 위한 주요 변수에... ",https://kookbang.dema.mil.kr/newsWeb/20240213/1/ATCE_CTGR_0050040000/view.do,https://kookbang.dema.mil.kr/newsWeb/20240213/1/ATCE_CTGR_0050040000/view.do
139,2024-02-12 12:01:00,[인터뷰] &quot;허위조작정보는 가짜뉴스와 달라… 민관 힘 합쳐 추적해야&quot;,그래서 그는 &quot;잘못된 정보가 시민을 공격하는 '<b>무기</b>'가 되는 과정을 공개함으로써 악의적인 정보를... 올 3월 열릴 '<b>AI</b>·디지털 기술과 민주주의'를 주제로 한 민주주의 정상회의에서 허위조작정보를 한 세션으로 다루듯... ,https://www.hankookilbo.com/News/Read/A2024020614080005207?did=NA,https://n.news.naver.com/mnews/article/469/0000784932?sid=100
140,2024-02-12 11:36:00,"안보경제 시대, 혁신기술경영이 살길",지금은 <b>AI</b> 혁명이 일어나고 있기 때문에 기득권의 기술자와 노동자 들이 강력한 노조로 저항하 는 사태가... 첨단군사기술은 정부가 처음부터 원하는 첨단<b>무기</b>를 개발할 때부터 개발비도 주고 <b>무기</b>가 나왔을 때 구매하도록... ,http://www.m-economynews.com/news/article.html?no=41924,http://www.m-economynews.com/news/article.html?no=41924
141,2024-02-12 09:01:00,알리 공습에…초저가 신설·직구 강화 격변 맞은 e커머스,경쟁력을 갖추기 위해 초저가 코너를 신설하거나 직구 판매를 강화하고 있지만 저렴한 가격을 <b>무기</b>로 한... 인공지능(<b>AI</b>) 알고리즘 활용 가품 배제 등 대책을 내놓았지만 별다른 효과는 없는 상황이다. 국내 e커머스... ,https://www.sedaily.com/NewsView/2D5BX1KS47,https://n.news.naver.com/mnews/article/011/0004298406?sid=101
142,2024-02-11 23:02:00,"이스라엘, 하마스와의 전쟁서 <b>AI</b> 활용한 <b>무기</b>체계 선보여","하지만, 이처럼 <b>AI</b> 기술이 <b>무기</b>에 본격 도입되면서 <b>AI</b>의 <b>무기</b>화에 따른 위험성이 커지고 있다는 우려도 제기된다. 앞서 지난해 12월 &quot;<b>무기</b>체계의 <b>AI</b>와 자동화&quot; 등 새로운 군사 기술이 &quot;심각한 도전과 우려&quot;를 제기한다는... ",https://www.hellot.net/news/article.html?no=86707,https://www.hellot.net/news/article.html?no=86707
143,2024-02-11 18:02:00,&quot;<b>AI</b> 시대…해킹 대비 안하면 주가 떨어지고 큰 위기 닥쳐&quot; [강경주의 IT카페],"삼성SDS는 생성 <b>AI</b>를 <b>무기</b>로 전사적 차원에서 위기관리 대응력을 대폭 강화했다. 학교 학습과 기업 업무, 재택 근무 활성화, 데이터 활용 급증, 클라우드 사용량 증가 등 악성코드가 침투할 수 있는 다양한 경로를... ",https://www.hankyung.com/article/202402042545i,https://n.news.naver.com/mnews/article/015/0004947223?sid=105
144,2024-02-11 18:02:00,[&quot;특별한 녀석들이 온다&quot; 2024년 K-게임 시프트] 신작 게임 라인업은?,스킬과 <b>무기</b>로 자신만의 액션 스타일을 만들어가는 재미를 담았다. [위메이드] 위메이드는 ▲모바일 야구... 레스토랑' ▲<b>AI</b> 육성 어반 RPG '스타시드: 아스니아 트리거'를 출시할 예정이다. (10) 게임명: '스타시드... ,https://www.econovill.com/news/articleView.html?idxno=644096,https://www.econovill.com/news/articleView.html?idxno=644096
145,2024-02-11 17:28:00,"“힘 센 형 좀 데려와봤어, 놀랐지”…최소 1000억달러 이 시장서 누가 ‘별’...",올해 투자 시장에 가장 중요한 플레이어인 <b>AI</b>반도체 기업들의 합종연횡. 이번 주 ‘위클리반도체’에서... 점이 <b>무기</b>죠. 이를 위한 첫 카드로 최근 HBM 로직다이에 미세 공정을 도입하겠다고 선언했습니다.... ,https://www.mk.co.kr/article/10939646,https://n.news.naver.com/mnews/article/009/0005257169?sid=101
146,2024-02-11 16:22:00,'초강력 <b>무기</b>' 챗GPT vs '무료 제공' 바드…<b>AI</b> 시대 승자는?,2022년 11월 오픈<b>AI</b>의 챗GPT가 등장한 뒤로 생성 인공지능(<b>AI</b>) 시장의 경쟁이 날로 치열해지고 있다. 하루가 멀다 하고 새로운 기능도 추가되고 있다. 가장 대표적인 서비스 챗GPT와 구글 바드의 주요 기능을 비교해봤다.... ,https://www.hankyung.com/article/202402071688i,https://n.news.naver.com/mnews/article/015/0004947214?sid=105
147,2024-02-11 14:06:00,"[생성형 <b>AI</b>의 <b>무기</b>, ‘연결’②] 국내 <b>AI</b> 플러그인 기능의 동향과 한계점","→'[생성형 <b>AI</b>의 <b>무기</b>, ‘연결’①]글로벌 <b>AI</b> 챗봇 서비스의 ‘플러그인’ 기능 활용'기사에서 이어집니다. 글로벌 <b>AI</b>인 Microsoft Copilot과 Bard에 이어 ‘한국형’ 생성형 <b>AI</b>를 살펴봤다. 네이버의 ‘CLOVA X(이하 클로바)... ",https://kidd.co.kr/news/235671,https://kidd.co.kr/news/235671
148,2024-02-11 11:46:00,"‘인간적인 너무나 인간적인’ 인공지능(<b>AI</b>) 시대, 1%의 영감에 맡겨라!",빠르고 복잡하게 변화하는 흐름에서 생존할 수 있는 <b>무기</b>는 다름 아닌 우리 자신 안에 있다는 것. 이런 점에서 이 책은 <b>AI</b>의 기술적 파급효과에 치중하는 수많은 기술서적의 홍수 속에서 인간의 근원적 해법을 제시하고... ,http://news.heraldcorp.com/view.php?ud=20240208050025,https://n.news.naver.com/mnews/article/016/0002265223?sid=103
149,2024-02-11 11:12:00,"&quot;사람보다 드론 잘 포착&quot;…이스라엘군, <b>AI</b> 기술 전쟁 투입",반면 <b>AI</b>의 <b>무기</b>화에 따른 위험성도 커진다는 목소리가 나오고 있다. 지난해 12월 150개 넘는 국가가 <b>AI</b> 등 새로운 기술이 세계 평화에 심각한 도전과 우려를 제기한다는 유엔 결의안을 지지한 바 있다.,https://zdnet.co.kr/view/?no=20240211102715,https://n.news.naver.com/mnews/article/092/0002321008?sid=105
150,2024-02-11 10:12:00,"그랑블루 판타지 리링크 &quot;8년의 기다림, 전투로 보답했다&quot;","기본적으로 파티원의 <b>AI</b> 성능이 매우 뛰어나서 공격과 패턴 회피, 아군 부활 등을 적절하게 수행한다. 오의... 하나의 캐릭터를 최종 단계까지 육성하려면 궁극 <b>무기</b>, '진', 캐릭터 강화 등 여러 요소를 모두 파밍해야 한다.... ",https://www.gametoc.co.kr/news/articleView.html?idxno=79125,https://www.gametoc.co.kr/news/articleView.html?idxno=79125
151,2024-02-11 09:32:00,위조신분증 하루 5000건 잡는다…美금융권 줄선 스타트업 [월드콘],"센티링크는 '디테일'을 <b>무기</b>로 사업을 넓혀나갔다. 인공지능(<b>AI</b>), 머신러닝을 통한 자동화가 금융계의 화두지만 자동화가 모든 것을 해결해주지는 않다는 게 센티링크의 철학이다. 모두가 &quot;<b>AI</b> 자동화&quot; 외칠 때 '수작업... ",http://news.mt.co.kr/mtview.php?no=2024020815101181225,https://n.news.naver.com/mnews/article/008/0004997400?sid=104
152,2024-02-11 07:28:00,[<b>AI</b> 프리즘] 전세계 50여개국 선거 '<b>AI</b> 페이크뉴스 비상'… 합성만화부터 죽은...,"<b>AI</b>는 선거 행정 과정에서도 사용될 수 있고, 부동 유권자를 표적으로 삼기 위해 <b>무기</b>화될 수도 있다. 대부분의 선거에서는 미결정 투표 수가 상대적으로 적다. 이를 통해 할 수 있는 일은 미결정 유권자를 식별하고... ",http://www.wikileaks-kr.org/news/articleView.html?idxno=148304,http://www.wikileaks-kr.org/news/articleView.html?idxno=148304
153,2024-02-11 06:04:00,실전배치 24년…한국은 ‘괴물 자주포’ 얻는다 [박수찬의 軍],지닌 <b>무기</b>로 평가받는다. 2007년 튀르키예를 시작으로 세계 유럽과 아시아에 수출된 것도 이같은 성능에... 자주포 1개 포대가 사격을 위해 이동할 때 승무원이 탑승한 1대를 인공지능(<b>AI</b>)을 사용하는 무인 자주포가... ,http://www.segye.com/newsView/20240208512705?OutUrl=naver,https://n.news.naver.com/mnews/article/022/0003903322?sid=100
